location,subject,time,value
Australia,Culture & Religion,1998,0.935164503
Australia,Defence,1998,2.015166048
Australia,Economic Aaffairs,1998,4.7678745
Australia,Education,1998,5.498014123
Australia,Environment,1998,0.504998487
Australia,Health,1998,5.806677953
Australia,Housing InFrancestructure,1998,0.642432747
Australia,Public Security,1998,1.637302297
Australia,Public Services,1998,5.454402081
Australia,Social protection,1998,10.02562006
Australia,Culture & Religion,1999,1.063489187
Australia,Defence,1999,1.880663284
Australia,Economic Aaffairs,1999,4.741150175
Australia,Education,1999,5.506977166
Australia,Environment,1999,0.50274858
Australia,Health,1999,6.113477105
Australia,Housing InFrancestructure,1999,0.584903951
Australia,Public Security,1999,1.579678628
Australia,Public Services,1999,5.088498248
Australia,Social protection,1999,9.651745802
Australia,Culture & Religion,2000,0.999581268
Australia,Defence,2000,1.966060071
Australia,Economic Aaffairs,2000,4.567149906
Australia,Education,2000,5.628267807
Australia,Environment,2000,0.500639415
Australia,Health,2000,5.87356556
Australia,Housing InFrancestructure,2000,0.61720536
Australia,Public Security,2000,1.669128132
Australia,Public Services,2000,4.900296508
Australia,Social protection,2000,10.64003757
Australia,Culture & Religion,2001,0.937523974
Australia,Defence,2001,1.983508678
Australia,Economic Aaffairs,2001,4.767642725
Australia,Education,2001,5.712970581
Australia,Environment,2001,0.528812196
Australia,Health,2001,6.036368735
Australia,Housing InFrancestructure,2001,0.650235307
Australia,Public Security,2001,1.715266774
Australia,Public Services,2001,4.416468042
Australia,Social protection,2001,10.37096215
Australia,Culture & Religion,2002,0.932609438
Australia,Defence,2002,2.10229552
Australia,Economic Aaffairs,2002,4.610847969
Australia,Education,2002,5.655206093
Australia,Environment,2002,0.552763569
Australia,Health,2002,6.06320715
Australia,Housing InFrancestructure,2002,0.646946408
Australia,Public Security,2002,1.737399308
Australia,Public Services,2002,4.183536939
Australia,Social protection,2002,10.03670141
Australia,Culture & Religion,2003,0.963386675
Australia,Defence,2003,1.854519349
Australia,Economic Aaffairs,2003,4.604339872
Australia,Education,2003,5.596211297
Australia,Environment,2003,0.534146963
Australia,Health,2003,6.087746926
Australia,Housing InFrancestructure,2003,0.656075589
Australia,Public Security,2003,1.775549431
